Tên dược liệu,Link ảnh
Bạch tiền bì,https://tracuuduoclieu.vn/wp-content/uploads/2020/12/bach-tien-bi-360x360.png
Bạch giới tử,https://tracuuduoclieu.vn/wp-content/uploads/2020/12/bach-gioi-tu-360x360.jpg
Áp nhĩ cần,https://tracuuduoclieu.vn/wp-content/uploads/2020/12/ap-nhi-can-2-360x360.png
Áp cước bản thảo,https://tracuuduoclieu.vn/wp-content/uploads/2020/12/ap-cuoc-ban-thao-360x360.png
Ao diệp cảnh tiên,https://tracuuduoclieu.vn/wp-content/uploads/2020/12/ao-diep-canh-thien-3-360x360.png
Âm hành thảo,https://tracuuduoclieu.vn/wp-content/uploads/2020/12/am-hanh-thao-340x360.png
A ngùy,https://tracuuduoclieu.vn/wp-content/uploads/2021/08/a-nguy-1-360x339.png
Cáp giới,https://tracuuduoclieu.vn/wp-content/uploads/2020/12/cap-gioi-360x360.png
Xạ đen Hòa Bình,https://tracuuduoclieu.vn/wp-content/uploads/2020/05/xa-den-1-360x360.jpg
Cây Chùm ngây,https://tracuuduoclieu.vn/wp-content/uploads/2018/04/chum-ngay-dltl1-360x360.jpg
Lông cu li,https://tracuuduoclieu.vn/wp-content/uploads/2018/04/cau-tich-duoc-lieu-tue-linh-1.jpg
Cây sâm cau đỏ,https://tracuuduoclieu.vn/wp-content/uploads/2018/09/sam_cau_do.jpg
Bí xanh,https://tracuuduoclieu.vn/wp-content/uploads/2018/03/bi-dao-duoc-lieu-tue-linh-1.jpg
Lục bình,https://tracuuduoclieu.vn/wp-content/uploads/2018/03/beo-nhat-ban-duoc-lieu-tue-linh-1.jpg
Bèo tai tượng,https://tracuuduoclieu.vn/wp-content/uploads/2018/03/beo-cai-duoc-lieu-tue-linh.jpg
Giàng sơn,https://tracuuduoclieu.vn/wp-content/uploads/2018/03/bau-giac-tia-duoc-lieu-tue-linh3.jpg
Tảo hưu,https://tracuuduoclieu.vn/wp-content/uploads/2019/07/that_diep_nhat-360x360.jpg
Thôi chanh,https://tracuuduoclieu.vn/wp-content/uploads/2018/03/bat-giac-phong-duoc-lieu-tue-linh.jpg
Hoàng cầm râu,https://tracuuduoclieu.vn/wp-content/uploads/2021/05/ban-chi-lien-2-360x347.png
Lô biên,https://tracuuduoclieu.vn/wp-content/uploads/2021/05/ban-bien-lien-360x333.png
Nọc sởi,https://tracuuduoclieu.vn/wp-content/uploads/2018/04/ban-2-360x360.png
Ngân hạnh,https://tracuuduoclieu.vn/wp-content/uploads/2021/05/bach-qua-360x333.jpg
Kiến cò,https://tracuuduoclieu.vn/wp-content/uploads/2018/03/bach-hac-duoc-lieu-tue-linh-2.jpg
Ngải tiên,https://tracuuduoclieu.vn/wp-content/uploads/2018/03/bach-diep-duoc-lieu-tue-linh-2.jpg
Liên cập thảo,https://tracuuduoclieu.vn/wp-content/uploads/2018/03/bach-cap-duoc-lieu-tue-linh-2.jpg
Cây Mần tưới,https://tracuuduoclieu.vn/wp-content/uploads/2018/04/man-tuoi2.jpg
Ván đậu,https://tracuuduoclieu.vn/wp-content/uploads/2021/05/ba-che-11-360x360.png
Bàn tay ma,https://tracuuduoclieu.vn/wp-content/uploads/2021/04/ban-tay-ma-4-360x360.jpg
Địa nhĩ thảo,https://tracuuduoclieu.vn/wp-content/uploads/2021/05/ban-3-360x360.png
Bạch yến,https://tracuuduoclieu.vn/wp-content/uploads/2021/05/ngai-tien-1-360x360.png
Tỏi rừng,https://tracuuduoclieu.vn/wp-content/uploads/2021/01/toi-rung-2-360x360.jpg
Tỏi tây,https://tracuuduoclieu.vn/wp-content/uploads/2021/01/toi-tay-360x301.jpg
Việt quất,https://tracuuduoclieu.vn/wp-content/uploads/2021/04/viet-quat-3-360x360.jpg
Ké hoa đào,https://tracuuduoclieu.vn/wp-content/uploads/2020/11/ke-hoa-dao-360x300.jpg
A lệ chi,https://tracuuduoclieu.vn/wp-content/uploads/2020/12/long-nhan-nhuc-360x360.png
Bưởi bung,https://tracuuduoclieu.vn/wp-content/uploads/2018/04/com-ruou2-1.jpg
Đậu bắp,https://tracuuduoclieu.vn/wp-content/uploads/2021/03/dau-bap-4-360x348.jpg
Tiền hồ nam,https://tracuuduoclieu.vn/wp-content/uploads/2018/04/chi-thien-duoc-lieu-tue-linh-1.jpg
Dây thìa canh,https://tracuuduoclieu.vn/wp-content/uploads/2021/02/day-thia-canh-3-360x274.jpg
Con rươi,https://tracuuduoclieu.vn/wp-content/uploads/2020/12/ruoi-360x360.jpg
Liên,https://tracuuduoclieu.vn/wp-content/uploads/2021/01/hoa-sen-1-360x336.jpg
Đơn mặt trời (Đơn lá đỏ),https://tracuuduoclieu.vn/wp-content/uploads/2020/12/don-3-360x339.jpg
Cây bụp giấm,https://tracuuduoclieu.vn/wp-content/uploads/2019/06/bup-giam-1-360x337.jpg
Nữ lang,https://tracuuduoclieu.vn/wp-content/uploads/2020/09/nu-lang-360x350.jpg
Nần nghệ,https://tracuuduoclieu.vn/wp-content/uploads/2020/06/nan-nghe-430x300-360x300.png
Cây Sương sâm,https://tracuuduoclieu.vn/wp-content/uploads/2019/08/day-sam-360x360.jpg
Xạ đen,https://tracuuduoclieu.vn/wp-content/uploads/2019/07/image001-360x293.jpg
Sim rừng,https://tracuuduoclieu.vn/wp-content/uploads/2019/05/sim-rung-360x360.jpg
Thục quỳ,https://tracuuduoclieu.vn/wp-content/uploads/2019/05/thuc-quy.jpg
Sau sau,https://tracuuduoclieu.vn/wp-content/uploads/2019/05/cay-sau-sau-360x300.jpg
Trai sông,https://tracuuduoclieu.vn/wp-content/uploads/2019/04/tra-song.jpg
Thạch hộc,https://tracuuduoclieu.vn/wp-content/uploads/2019/04/thach-hoc-1.jpg
Tai tượng xanh,https://tracuuduoclieu.vn/wp-content/uploads/2019/04/tai-tuong-xanh-360x360.jpg
Ruối leo,https://tracuuduoclieu.vn/wp-content/uploads/2019/04/ruoi-leo.jpg
Thồm lồm gai,https://tracuuduoclieu.vn/wp-content/uploads/2019/04/thom-lom-gai.jpg
Tam lăng,https://tracuuduoclieu.vn/wp-content/uploads/2019/04/curculigo-gracilis-tam-lang-360x360.jpg
Trám trắng,https://tracuuduoclieu.vn/wp-content/uploads/2018/03/tram-trang-1-360x326.jpg
Xui,https://tracuuduoclieu.vn/wp-content/uploads/2019/04/cay-xui-1-360x360.jpg
Rùa núi,https://tracuuduoclieu.vn/wp-content/uploads/2019/04/rua-nui.jpg
Ráy leo lá rách,https://tracuuduoclieu.vn/wp-content/uploads/2019/04/cay-ray-leo-la-rach-1-360x360.jpg
Xoan ấn độ,https://tracuuduoclieu.vn/wp-content/uploads/2019/04/xoan-an-do.jpg
Ba gạc lá vòng,https://tracuuduoclieu.vn/wp-content/uploads/2019/04/ba-gac-la-vong-2.jpg
Sa sâm nam,https://tracuuduoclieu.vn/wp-content/uploads/2019/04/sa-sam-nam-1-360x360.jpg
Sơn dương,https://tracuuduoclieu.vn/wp-content/uploads/2019/04/son-duong-1.jpg
Vù hương,https://tracuuduoclieu.vn/wp-content/uploads/2019/04/vu-huong.jpg
Tiểu kế,https://tracuuduoclieu.vn/wp-content/uploads/2019/04/tieu-ke.jpg
Thông đỏ,https://tracuuduoclieu.vn/wp-content/uploads/2019/04/thong-do.jpg
Tam tầng,https://tracuuduoclieu.vn/wp-content/uploads/2019/04/tam-tang.jpg
Thạch tầm,https://tracuuduoclieu.vn/wp-content/uploads/2019/03/thach-tam.jpg
Thài lài trắng,https://tracuuduoclieu.vn/wp-content/uploads/2019/03/thai-lai-trang.jpg
Tang ký sinh,https://tracuuduoclieu.vn/wp-content/uploads/2018/04/tang-ki-sinh-360x345.jpg
Sòi trắng,https://tracuuduoclieu.vn/wp-content/uploads/2019/03/soi-trang.jpg
Sa nhân trắng,https://tracuuduoclieu.vn/wp-content/uploads/2019/03/sa-nhan-trang.jpg
Cây rau mùi,https://tracuuduoclieu.vn/wp-content/uploads/2019/03/rau-mui-duoc-lieu-tue-linh2-360x360.jpg
Xuyên tâm liên,https://tracuuduoclieu.vn/wp-content/uploads/2019/03/cay-xuyen-tam-lien-1-360x360.jpg
Thanh yên,https://tracuuduoclieu.vn/wp-content/uploads/2019/03/thanh-yen-duoc-lieu-tue-linh-1-360x360.jpg
Con Cóc,https://tracuuduoclieu.vn/wp-content/uploads/2019/03/con-coc-duoc-lieu-tue-linh-360x360.jpg
Sâm đại hành,https://tracuuduoclieu.vn/wp-content/uploads/2019/03/sam-dai-hanh-duoc-tue-linh-358x360.jpg
Nấm linh chi,https://tracuuduoclieu.vn/wp-content/uploads/2019/03/nam-linh-chi-duoc-lieu-tue-linh2-1-360x360.jpg
Vân mộc hương,https://tracuuduoclieu.vn/wp-content/uploads/2019/03/van-moc-huong.jpg
Sài hồ nam,https://tracuuduoclieu.vn/wp-content/uploads/2019/03/sai-ho-nam.jpg
Trạch quạch,https://tracuuduoclieu.vn/wp-content/uploads/2019/03/trach-quach.jpg
Vối rừng,https://tracuuduoclieu.vn/wp-content/uploads/2019/03/voi-rung.jpg
Thổ nhân sâm,https://tracuuduoclieu.vn/wp-content/uploads/2019/03/sam-3-360x360.png
Sơn đậu,https://tracuuduoclieu.vn/wp-content/uploads/2019/03/son-dau.jpg
Râu hùm,https://tracuuduoclieu.vn/wp-content/uploads/2019/03/rau-hum.jpg
Anh đào châu phi,https://tracuuduoclieu.vn/wp-content/uploads/2019/03/pygeum.jpg
Xương rồng ông,https://tracuuduoclieu.vn/wp-content/uploads/2019/03/xuong-rong-ong.jpg
Xoan rừng,https://tracuuduoclieu.vn/wp-content/uploads/2019/03/xoan-rung-360x360.jpg
Sòi tía,https://tracuuduoclieu.vn/wp-content/uploads/2019/03/cay-soi-tia-360x360.jpg
Săng lẻ,https://tracuuduoclieu.vn/wp-content/uploads/2019/03/sang-le-bang-lang.jpg
Sài đất,https://tracuuduoclieu.vn/wp-content/uploads/2019/03/cay-sai-dat-360x360.jpg
Sa sâm bắc,https://tracuuduoclieu.vn/wp-content/uploads/2019/03/sa-sam-bac-1-360x360.jpg
Rau ngổ,https://tracuuduoclieu.vn/wp-content/uploads/2021/01/rau-ngo-6-360x328.jpg
Xương rồng bà có gai,https://tracuuduoclieu.vn/wp-content/uploads/2019/03/xuong-rong-ba-co-gai-1-360x360.jpg
Sa nhân tím,https://tracuuduoclieu.vn/wp-content/uploads/2019/03/sa-nhan-tim-2-360x325.jpg
Rau xương cá,https://tracuuduoclieu.vn/wp-content/uploads/2019/03/rau-xuong-ca-360x360.jpg
Bồ Bồ,https://tracuuduoclieu.vn/wp-content/uploads/2019/03/bo-bo-nhan-tran-360x360.jpg
Húng chanh,https://tracuuduoclieu.vn/wp-content/uploads/2018/07/19e12c22a0b43608fc41971879772c8c.jpg
Lêkima,https://tracuuduoclieu.vn/wp-content/uploads/2018/07/lekima-caytrungga2-360x360.jpg
Hoa dài,https://tracuuduoclieu.vn/wp-content/uploads/2018/07/hoa-dai-duoc-lieu-tue-linh.jpg
Mít,https://tracuuduoclieu.vn/wp-content/uploads/2018/06/mit-duoc-lieu-tue-linh.jpg
Bọ mắm rừng,https://tracuuduoclieu.vn/wp-content/uploads/2018/06/bo-mam-rung-1-360x360.jpg
Ngũ vị tử,https://tracuuduoclieu.vn/wp-content/uploads/2018/06/ngu-vi-tu-duoc-lieu-tue-linh1.jpg
Khoai riềng,https://tracuuduoclieu.vn/wp-content/uploads/2018/06/khoai-rieng-duoc-lieu-tue-linh.jpg
Ngải hoa đỏ,https://tracuuduoclieu.vn/wp-content/uploads/2018/06/ngai-hoa-do-duoc-lieu-tue-linh.jpg
Ba kích,https://tracuuduoclieu.vn/wp-content/uploads/2018/06/ba-kich-duoc-lieu-tue-linh2.jpg
Kim tiền thảo,https://tracuuduoclieu.vn/wp-content/uploads/2018/05/kim-tien-thao-duoc-lieu-tue-linh1.jpg
Bạch đồng nữ,https://tracuuduoclieu.vn/wp-content/uploads/2018/05/bach-dong-nu-duoc-lieu-tue-linh2.jpg
Rau dớn,https://tracuuduoclieu.vn/wp-content/uploads/2018/05/rau-don-duoc-lieu-tue-linh.jpg
Ba gạc hoa đỏ,https://tracuuduoclieu.vn/wp-content/uploads/2018/05/ba-gac-hoa-do-1-360x346.jpg
Cà Dại Hoa Trắng,https://tracuuduoclieu.vn/wp-content/uploads/2018/05/ca_dai_hoa_trang-360x339.jpg
Nhục thung dung,https://tracuuduoclieu.vn/wp-content/uploads/2018/05/nhuc-thung-dung-duoc-lieu-tue-linh1-360x360.jpg
Vạn niên thanh,https://tracuuduoclieu.vn/wp-content/uploads/2018/05/van-nien-thanh-duoc-lieu-tue-linh.jpg
Vải,https://tracuuduoclieu.vn/wp-content/uploads/2018/05/vai-360x326.jpg
Vả,https://tracuuduoclieu.vn/wp-content/uploads/2018/05/va-duoc-lieu-tue-linh2-360x360.jpg
Uy linh tiên,https://tracuuduoclieu.vn/wp-content/uploads/2018/05/uy-linh-tien-duoc-lieu-tue-linh.jpg
Tỳ giải,https://tracuuduoclieu.vn/wp-content/uploads/2018/05/cay20ty20giai-360x315.jpg
Tử uyển,https://tracuuduoclieu.vn/wp-content/uploads/2018/05/tu-uyen-duoc-lieu-tue-linh2.jpg
Tùng hương,https://tracuuduoclieu.vn/wp-content/uploads/2018/05/x-tung-huong-x-360x360.jpg
Tục tùy tử,https://tracuuduoclieu.vn/wp-content/uploads/2018/05/tuc-tuy-tu-360x321.jpg
Tục đoạn,https://tracuuduoclieu.vn/wp-content/uploads/2018/05/tuc-doan-duoc-lieu-tue-linh.jpg
Trường sinh lá rách,https://tracuuduoclieu.vn/wp-content/uploads/2018/05/truong-sinh-la-rach-duoc-lieu-tue-linh2.jpg
Cây Trương quân (Trung quân),https://tracuuduoclieu.vn/wp-content/uploads/2018/05/truong-quan-duoc-lieu-tue-linh1.jpg
Trứng cuốc,https://tracuuduoclieu.vn/wp-content/uploads/2018/05/trung-cuoc-duoc-lieu-tue-linh1.jpg
Trúc nhự,https://tracuuduoclieu.vn/wp-content/uploads/2018/05/truc-nhu-360x360.jpg
Trúc đào,https://tracuuduoclieu.vn/wp-content/uploads/2018/05/truc-dao-duoc-lieu-tue-linh-360x336.jpg
Trúc diệp sâm,https://tracuuduoclieu.vn/wp-content/uploads/2018/05/truc-diep-sam-360x360.png
Trọng đũa,https://tracuuduoclieu.vn/wp-content/uploads/2018/05/trong-dua-duoc-lieu-tue-linh1.jpg
Trinh nữ hoàng cung,https://tracuuduoclieu.vn/wp-content/uploads/2018/05/trinh-nu-hoang-cung-360x352.jpg
Tri mẫu,https://tracuuduoclieu.vn/wp-content/uploads/2018/05/tri-mau-duoc-lieu-tue-linh.jpg
Tre,https://tracuuduoclieu.vn/wp-content/uploads/2018/05/tre-duoc-lieu-tue-linh.jpg
Trầu không,https://tracuuduoclieu.vn/wp-content/uploads/2018/05/trau-khong-duoc-lieu-tue-linh.jpg
Trâu cổ,https://tracuuduoclieu.vn/wp-content/uploads/2018/05/trau-co-duoc-lieu-tue-linh1.jpg
Trẩu (Dầu sơn),https://tracuuduoclieu.vn/wp-content/uploads/2018/05/trau-360x326.jpg
Trân châu,https://tracuuduoclieu.vn/wp-content/uploads/2018/05/ngoc-trai-360x326.jpg
Trầm hương,https://tracuuduoclieu.vn/wp-content/uploads/2018/05/tram-huong-360x326.jpg
Trăn,https://tracuuduoclieu.vn/wp-content/uploads/2018/05/tran-360x326.jpg
Trắc bách diệp,https://tracuuduoclieu.vn/wp-content/uploads/2018/05/trac-bach-diep-duoc-lieu-tue-linh.jpg
Tràm,https://tracuuduoclieu.vn/wp-content/uploads/2018/05/tram-duoc-lieu-tue-linh-360x360.jpg
Trái mấm,https://tracuuduoclieu.vn/wp-content/uploads/2018/05/trai-mam-duoc-lieu-tue-linh.jpg
Tô mộc,https://tracuuduoclieu.vn/wp-content/uploads/2018/05/to-moc-duoc-lieu-tue-linh.jpg
Tô hạp hương,https://tracuuduoclieu.vn/wp-content/uploads/2018/05/to-hap-huong-duoc-lieu-tue-linh.jpg
Sơn từ cô,https://tracuuduoclieu.vn/wp-content/uploads/2018/05/son-tu-co-duoc-lieu-tue-linh2.jpg
Yến,https://tracuuduoclieu.vn/wp-content/uploads/2018/05/yen-duoc-lieu-tue-linh1.jpg
Ý dĩ,https://tracuuduoclieu.vn/wp-content/uploads/2018/05/di-duoc-lieu-tue-linh.jpg
Xương sông,https://tracuuduoclieu.vn/wp-content/uploads/2018/05/xuong-song-duoc-lieu-tue-linh1.jpg
Xương khô,https://tracuuduoclieu.vn/wp-content/uploads/2018/05/xuong-kho-duoc-lieu-tue-linh.jpg
Xương hổ,https://tracuuduoclieu.vn/wp-content/uploads/2018/05/xuong-ho-duoc-lieu-tue-linh.jpg
Xuyên sơn giáp,https://tracuuduoclieu.vn/wp-content/uploads/2018/05/xuyen-son-giap-duoc-lieu-tue-linh1.jpg
Xuyên khung,https://tracuuduoclieu.vn/wp-content/uploads/2018/05/xuyen-khung-duoc-lieu-tue-linh1.jpg
Xuân hoa,https://tracuuduoclieu.vn/wp-content/uploads/2018/05/cay_xuan_hoa-360x360.jpg
Xoan nhừ,https://tracuuduoclieu.vn/wp-content/uploads/2018/05/xoan-nhu-duoc-lieu-tue-linh1.jpg
Xoan,https://tracuuduoclieu.vn/wp-content/uploads/2018/05/xoan-duoc-lieu-tue-linh2.jpg
Xoài,https://tracuuduoclieu.vn/wp-content/uploads/2018/05/xoai-duoc-lieu-tue-linh1.jpg
Xích thược,https://tracuuduoclieu.vn/wp-content/uploads/2018/05/xich-thuoc-duoc-lieu-tue-linh2.jpg
Xấu hổ,https://tracuuduoclieu.vn/wp-content/uploads/2018/05/xau-ho-duoc-lieu-tue-linh.jpg
Xà sàng,https://tracuuduoclieu.vn/wp-content/uploads/2018/05/xa-sang-duoc-lieu-tue-linh1.jpg
Xạ hương,https://tracuuduoclieu.vn/wp-content/uploads/2018/05/xa-huong-duoc-lieu-tue-linh.jpg
Vương tùng,https://tracuuduoclieu.vn/wp-content/uploads/2018/05/vuong-tung-360x332.jpg
Vừng,https://tracuuduoclieu.vn/wp-content/uploads/2018/05/vung-duoc-lieu-tue-linh1.jpg
Vuốt hùm,https://tracuuduoclieu.vn/wp-content/uploads/2018/05/vuot-hum-duoc-lieu-tue-linh2.jpg
Tỏi đỏ,https://tracuuduoclieu.vn/wp-content/uploads/2018/05/toi-do-duoc-lieu-tue-linh2.jpg
Tóc rối,https://tracuuduoclieu.vn/wp-content/uploads/2018/05/toc-roi-duoc-lieu-tue-linh.jpg
Tỏa dương (Ngọc cẩu),https://tracuuduoclieu.vn/wp-content/uploads/2018/05/toa-duong-1-360x338.jpg
Tiểu hồi,https://tracuuduoclieu.vn/wp-content/uploads/2018/05/tieu-hoi-duoc-lieu-tue-linh1.jpg
Tiền hồ,https://tracuuduoclieu.vn/wp-content/uploads/2018/05/tien-ho-duoc-lieu-tue-linh.jpg
Tía tô,https://tracuuduoclieu.vn/wp-content/uploads/2018/05/tia-to-duoc-lieu-tue-linh1.jpg
Thương truật,https://tracuuduoclieu.vn/wp-content/uploads/2018/05/thuong-truat-duoc-lieu-tue-linh.jpg
Thường sơn,https://tracuuduoclieu.vn/wp-content/uploads/2018/05/thuong-son-duoc-lieu-tue-linh.jpg
Thương lục,https://tracuuduoclieu.vn/wp-content/uploads/2018/05/thuong-luc-360x339.jpg
Thuyền thuế,https://tracuuduoclieu.vn/wp-content/uploads/2018/05/thuyen-thue-360x326.jpg
Cây vú bò,https://tracuuduoclieu.vn/wp-content/uploads/2018/05/50-ficus-heterophylla-l-f-360x360.jpg
Vông vang,https://tracuuduoclieu.vn/wp-content/uploads/2018/05/vong-vang-duoc-lieu-tue-linh.jpg
Vông nem,https://tracuuduoclieu.vn/wp-content/uploads/2018/05/vong-nem-duoc-lieu-tue-linh2.jpg
Vọng giang nam,https://tracuuduoclieu.vn/wp-content/uploads/2018/05/vong-giang-nam-360x299.jpg
Vọng cách,https://tracuuduoclieu.vn/wp-content/uploads/2018/05/vong-cach-duoc-lieu-tue-linh1.jpg
Cây vòi voi,https://tracuuduoclieu.vn/wp-content/uploads/2018/05/cay-voi-voi-1-360x339.jpg
Vỏ lựu,https://tracuuduoclieu.vn/wp-content/uploads/2018/05/vo-luu-duoc-tue-linh.jpg
Viễn chí,https://tracuuduoclieu.vn/wp-content/uploads/2018/05/vien-chi-duoc-lieu-tue-linh1.jpg
Vàng đắng,https://tracuuduoclieu.vn/wp-content/uploads/2018/05/vang-dang-duoc-lieu-tue-linh.jpg
Vạn tuế,https://tracuuduoclieu.vn/wp-content/uploads/2018/05/van-tue-duoc-lieu-tue-linh1.jpg
Cây Sổ Trai,https://tracuuduoclieu.vn/wp-content/uploads/2018/05/so-trai-duoc-lieu-tue-linh1.jpg
Sóng rắn,https://tracuuduoclieu.vn/wp-content/uploads/2018/05/song-ran-duoc-lieu-tue-linh1.jpg
Thổ phục linh,https://tracuuduoclieu.vn/wp-content/uploads/2018/05/tho_phuc_linh1-360x302.jpg
Thòng bong,https://tracuuduoclieu.vn/wp-content/uploads/2018/05/thong-bong-duoc-lieu-tue-linh.jpg
Thổ hoàng liên,https://tracuuduoclieu.vn/wp-content/uploads/2018/05/tho-hoang-lien-duoc-lieu-tue-linh2.jpg
Thiên trúc hoàng,https://tracuuduoclieu.vn/wp-content/uploads/2018/05/thien-truc-hoang-duoc-lieu-tue-linh1.jpg
Thóc lép,https://tracuuduoclieu.vn/wp-content/uploads/2018/05/cay-thoc-lep-360x302.jpg
Thiên tiên tử,https://tracuuduoclieu.vn/wp-content/uploads/2018/05/thien-tien-tu-duoc-lieu-tue-linh2.jpg
Thiến thảo,https://tracuuduoclieu.vn/wp-content/uploads/2018/05/thien-thao-duoc-lieu-tue-linh1.jpg
Thiên niên kiện,https://tracuuduoclieu.vn/wp-content/uploads/2018/05/thien_nien_kien-360x339.jpg
Thiên môn đông,https://tracuuduoclieu.vn/wp-content/uploads/2018/05/asparagus-cochinchinensis-lour-merr-thien-mon-dong-360x360.jpg
Thiên lý hương,https://tracuuduoclieu.vn/wp-content/uploads/2018/05/thien-ly-huong-duoc-lieu-tue-linh.jpg
Cây thiên lý,https://tracuuduoclieu.vn/wp-content/uploads/2018/05/cay-thien-ly-360x300.jpg
Thiên đầu thống,https://tracuuduoclieu.vn/wp-content/uploads/2018/05/thien-dau-thong-360x302.jpg
Thị đế,https://tracuuduoclieu.vn/wp-content/uploads/2018/05/thi-de-360x326.jpg
Thầu dầu,https://tracuuduoclieu.vn/wp-content/uploads/2018/05/thau-dau-duoc-lieu-tue-linh2.jpg
So đũa,https://tracuuduoclieu.vn/wp-content/uploads/2018/05/so-dua-duoc-lieu-tue-linh.jpg
Sim,https://tracuuduoclieu.vn/wp-content/uploads/2018/05/sim-duoc-lieu-tue-linh.jpg
Sì to,https://tracuuduoclieu.vn/wp-content/uploads/2018/05/si-to-duoc-lieu-tue-linh.jpg
Si,https://tracuuduoclieu.vn/wp-content/uploads/2018/05/si-duoc-lieu-tue-linh1.jpg
Seo gà,https://tracuuduoclieu.vn/wp-content/uploads/2018/05/seo-ga-duoc-lieu-tue-linh.jpg
Sen cạn,https://tracuuduoclieu.vn/wp-content/uploads/2018/05/sen-can-duoc-lieu-tue-linh.jpg
Sầu đâu rừng,https://tracuuduoclieu.vn/wp-content/uploads/2018/05/sau-dau.jpg
Sâu ban miêu,https://tracuuduoclieu.vn/wp-content/uploads/2018/05/sau-ban-mieu-duoc-lieu-tue-linh.jpg
Sấu,https://tracuuduoclieu.vn/wp-content/uploads/2018/05/sau-duoc-lieu-tue-linh.jpg
Sâm vũ diệp,https://tracuuduoclieu.vn/wp-content/uploads/2018/05/sam-vu-diep-duoc-lieu-tue-linh.jpg
Sâm đất,https://tracuuduoclieu.vn/wp-content/uploads/2018/05/sam-dat-duoc-lieu-tue-linh.jpg
Thuỷ tiên,https://tracuuduoclieu.vn/wp-content/uploads/2018/05/thuy-tien-duoc-lieu-tue-linh1.jpg
Thuỷ ngân,https://tracuuduoclieu.vn/wp-content/uploads/2018/05/thuy_ngan-360x255.jpg
Thuốc phiện,https://tracuuduoclieu.vn/wp-content/uploads/2018/05/thuoc-phien-360x326.jpg
Thuốc Lá,https://tracuuduoclieu.vn/wp-content/uploads/2018/05/thuoc-la-360x326.jpg
Thuốc giấu,https://tracuuduoclieu.vn/wp-content/uploads/2018/05/thuoc-giau-duoc-lieu-tue-linh2.jpg
Thuốc bỏng,https://tracuuduoclieu.vn/wp-content/uploads/2018/05/thuoc-bong-duoc-lieu-tue-linh2.jpg
Thốt nốt,https://tracuuduoclieu.vn/wp-content/uploads/2018/05/thot-not-360x339.jpg
Thông thiên,https://tracuuduoclieu.vn/wp-content/uploads/2018/05/thong-thien-360x339.jpg
Thông thảo,https://tracuuduoclieu.vn/wp-content/uploads/2018/05/thong_thao-360x339.jpg
Thồm lồm,https://tracuuduoclieu.vn/wp-content/uploads/2018/05/thom-lom-duoc-lieu-tue-linh.jpg
Cây Thổ Tam Thất,https://tracuuduoclieu.vn/wp-content/uploads/2018/05/tho-tam-that-duoc-lieu-tue-linh1.jpg
Thăng ma,https://tracuuduoclieu.vn/wp-content/uploads/2018/05/thang-ma-duoc-lieu-tue-linh1.jpg
Thăng dược,https://tracuuduoclieu.vn/wp-content/uploads/2018/05/hoang_thang-360x360.jpg
Thằn lằn,https://tracuuduoclieu.vn/wp-content/uploads/2018/05/than-lan-360x326.jpg
Thảo quyết minh,https://tracuuduoclieu.vn/wp-content/uploads/2018/05/thao-quyet-minh-duoc-lieu-tue-linh.jpg
Thanh táo,https://tracuuduoclieu.vn/wp-content/uploads/2018/05/thanh-tao-360x338.jpg
Thanh ngâm,https://tracuuduoclieu.vn/wp-content/uploads/2018/05/thanh-ngam-duoc-lieu-tue-linh2.jpg
Thành ngạnh,https://tracuuduoclieu.vn/wp-content/uploads/2018/05/cratoxylum-formosum-thanh-nganh-360x360.jpg
Thanh long,https://tracuuduoclieu.vn/wp-content/uploads/2018/05/thanh-long-360x342.jpg
Thanh cao hoa vàng,https://tracuuduoclieu.vn/wp-content/uploads/2018/05/thanh-hao-hoa-vang-1-360x360.jpg
Thanh cao,https://tracuuduoclieu.vn/wp-content/uploads/2018/05/thanh-cao-360x339.jpg
Thàn mát,https://tracuuduoclieu.vn/wp-content/uploads/2018/05/than-mat-duoc-lieu-tue-linh-360x360.gif
Thài lài tía,https://tracuuduoclieu.vn/wp-content/uploads/2018/05/thai-lai-tia-duoc-lieu-tue-linh1.jpg
Thạch vĩ,https://tracuuduoclieu.vn/wp-content/uploads/2018/05/thach-vi-duoc-lieu-tue-linh1.jpg
Sâm bòng bong,https://tracuuduoclieu.vn/wp-content/uploads/2018/05/sam-bong-bong-duoc-lieu-tue-linh2.jpg
Sắn thuyền,https://tracuuduoclieu.vn/wp-content/uploads/2018/05/san-thuyen-duoc-lieu-tue-linh2.jpg
Sao đen,https://tracuuduoclieu.vn/wp-content/uploads/2018/05/sao-den-duoc-lieu-tue-linh1.jpg
Sảng,https://tracuuduoclieu.vn/wp-content/uploads/2018/05/sang-duoc-lieu-tue-linh.jpg
Sam,https://tracuuduoclieu.vn/wp-content/uploads/2018/05/sam-duoc-lieu-tue-linh.jpg
Sa mộc,https://tracuuduoclieu.vn/wp-content/uploads/2018/04/sa-moc-duoc-lieu-tue-linh.jpg
Cây sả chanh,https://tracuuduoclieu.vn/wp-content/uploads/2018/04/sa-chanh-2-360x352.jpg
Cây ruối,https://tracuuduoclieu.vn/wp-content/uploads/2018/04/cay-ruoi-360x310.jpg
Rung rúc,https://tracuuduoclieu.vn/wp-content/uploads/2018/04/rung-ruc-duoc-lieu-tue-linh2.jpg
Rùm nao,https://tracuuduoclieu.vn/wp-content/uploads/2018/04/rum-nao-duoc-lieu-tue-linh2.jpg
